t_sec,sent_total,done_total,ok_total,err_total,sent_rps,done_rps,inflight,avg_latency,p50_latency,p95_latency
1.0,20,19,19,0,19,19,1,0.106488,0.105594,0.145402
2.0,40,38,38,0,20,19,2,0.101473,0.105723,0.146897
3.0,60,57,57,0,20,19,3,0.114614,0.121993,0.148997
4.0,79,76,76,0,19,19,3,0.102377,0.105010,0.147534
5.0,99,98,98,0,20,22,1,0.100659,0.094387,0.136739
6.0,119,117,117,0,20,19,2,0.090278,0.087122,0.132557
7.0,138,137,137,0,19,20,1,0.100208,0.098102,0.136813
8.0,158,157,157,0,20,20,1,0.105011,0.112793,0.139601
9.0,178,175,175,0,20,18,3,0.099070,0.096071,0.144415
10.0,197,196,196,0,19,21,1,0.108055,0.106898,0.146543
11.0,217,216,216,0,20,20,1,0.103520,0.101107,0.148333
12.0,237,235,235,0,20,19,2,0.117204,0.117505,0.151784
13.0,256,254,254,0,19,19,2,0.106940,0.109988,0.144102
14.0,276,273,273,0,20,19,3,0.100130,0.103137,0.137813
15.0,296,294,294,0,20,21,2,0.100042,0.107504,0.149693
16.0,315,314,314,0,19,20,1,0.104449,0.098993,0.145664
17.0,335,333,333,0,20,19,2,0.096524,0.087024,0.149515
18.0,355,352,352,0,20,19,3,0.093552,0.090375,0.146864
19.0,374,372,372,0,19,20,2,0.105122,0.108187,0.147573
20.0,394,392,392,0,20,20,2,0.106603,0.107384,0.135965
21.0,414,411,411,0,20,19,3,0.103857,0.110163,0.141405
22.0,434,432,432,0,20,21,2,0.105225,0.110474,0.149936
23.0,453,451,451,0,19,19,2,0.102323,0.104451,0.146624
24.0,473,470,470,0,20,19,3,0.095864,0.101083,0.139128
25.0,493,492,492,0,20,22,1,0.093711,0.087094,0.149812
26.0,512,511,511,0,19,19,1,0.087529,0.077544,0.129703
27.0,532,530,530,0,20,19,2,0.096370,0.087629,0.139848
28.0,552,549,549,0,20,19,3,0.096578,0.089387,0.140011
29.0,572,569,569,0,20,20,3,0.105092,0.102673,0.143961
30.0,591,590,590,0,19,21,1,0.103691,0.109965,0.140694
31.0,591,591,591,0,0,1,0,0.070121,0.070121,0.070121
