t_sec,sent_total,done_total,ok_total,err_total,sent_rps,done_rps,inflight,avg_latency,p50_latency,p95_latency
1.0,185,175,175,0,184,175,10,0.051342,0.051121,0.052635
2.0,373,364,364,0,188,189,9,0.051184,0.051020,0.052230
3.0,564,554,554,0,191,190,10,0.051529,0.051367,0.052573
4.0,756,746,746,0,192,192,10,0.051599,0.051488,0.052598
5.0,942,932,932,0,186,186,10,0.051594,0.051466,0.052773
6.0,1133,1124,1124,0,191,192,9,0.051564,0.051392,0.052852
7.0,1325,1315,1315,0,192,191,10,0.051582,0.051447,0.052609
8.0,1515,1505,1505,0,190,190,10,0.051808,0.051642,0.053000
9.0,1699,1690,1690,0,184,185,9,0.051553,0.051437,0.052590
10.0,1887,1878,1878,0,188,188,9,0.051541,0.051391,0.052638
11.0,1887,1887,1887,0,0,9,0,0.052055,0.051987,0.052967
