t_sec,sent_total,done_total,ok_total,err_total,sent_rps,done_rps,inflight,avg_latency,p50_latency,p95_latency
1.0,187,177,177,0,186,177,10,0.051311,0.051219,0.052552
2.0,371,361,361,0,184,184,10,0.051578,0.051573,0.052907
3.0,562,552,552,0,191,191,10,0.051781,0.051707,0.052728
4.0,751,742,742,0,189,190,9,0.051955,0.051839,0.053024
5.0,942,932,932,0,191,190,10,0.051912,0.051789,0.053012
6.0,1126,1117,1117,0,184,185,9,0.051764,0.051755,0.052751
7.0,1316,1306,1306,0,190,189,10,0.051772,0.051744,0.052816
8.0,1503,1493,1493,0,187,187,10,0.051837,0.051787,0.053008
9.0,1692,1683,1683,0,189,190,9,0.051735,0.051639,0.052768
10.0,1883,1873,1873,0,191,190,10,0.051700,0.051650,0.052669
11.0,1883,1883,1883,0,0,10,0,0.052014,0.051823,0.053073
